"id";"id_str";"followers_count";"created_at";"updated_at"
7739;"2900528733";7830;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7740;"3092387621";1417;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7741;"429751053";3248;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7742;"176832003";3632;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7743;"179650596";2205;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7744;"163165805";1452;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7745;"140669124";1351;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7746;"3084916883";6182;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7747;"24761253";5266;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7748;"1118481835376431104";559;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7749;"55152459";35077;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7750;"1325494376";5455;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7751;"2773697022";47;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7752;"948927124316008449";3389;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7753;"323263308";1611;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7754;"58538668";23674;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7755;"78714361";2643;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7756;"292023005";570;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7757;"140480459";40544;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7758;"3294107902";2459;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7759;"1067790946090315776";3074;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7760;"179147542";242;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7761;"46927498";12551;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7762;"57906445";20967;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7763;"823535524610797569";366;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7764;"60053376";4365;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7765;"149115340";2016;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7766;"55152459";35078;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7767;"717744189774151680";2371;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7768;"211036828";562;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7769;"1016611112";4140;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7770;"27166575";1369;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7771;"54223926";23963;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7772;"165113436";1633;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7773;"265024488";22011;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7774;"1080814654195204096";14011;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7775;"160537024";2230;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7776;"106134926";59956;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7777;"169739656";2243;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7778;"1002217423037255681";171;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7779;"3183992440";16275;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7780;"1307554087";6805;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7781;"46927498";12551;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7782;"153563550";4468;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
